,Tseas0noise,Tseas0.1noise,Tseas1noise,Tseas2noise,Tseas4noise,Tseas10noise,EVAP,SMELT,PRECTOT,PRECSNO
2002-02-01,257.0956710075219,257.18874530960574,257.211339595154,258.2740324375123,257.2566240480644,261.5203990823446,0,0,0.08333333333333333,0.08333333333333333
2002-03-01,262.04155058520877,262.1389089489732,262.67780911324166,263.68398286716547,262.8109938221542,272.0056400513146,0,0,0.08333333333333333,0.08333333333333333
2002-04-01,262.14438041371625,262.2296492020018,262.7851967405579,263.0637801919581,265.338440948607,269.43109994432194,0,0,0.08333333333333333,0.08333333333333333
2002-05-01,257.064932306475,257.13422090773054,257.61098910479217,257.15996404409003,259.7168844552226,266.0289154768642,0,0,0.08333333333333333,0.08333333333333333
2002-06-01,248.21502015233833,248.25462801318034,248.21904875750806,249.25891895814001,248.82234371189938,252.999012290152,0,0,0.08333333333333333,0.08333333333333333
2002-07-01,237.95343087489368,237.98282634891794,238.38092914216324,238.3155663666307,240.2660735322109,243.4131618528586,0,0,0.08333333333333333,0.08333333333333333
2002-08-01,228.93523367224603,229.02991264640573,229.10966635791877,230.71216802875836,230.4048965911531,235.09055879722933,0,0,0.08333333333333333,0.08333333333333333
2002-09-01,223.85567897721944,223.93107844284737,224.09716311562576,225.7407556517996,226.35832074466904,232.1931335391106,0,0,0.08333333333333333,0.08333333333333333
2002-10-01,223.95838614114362,223.9641915211728,224.43182640367795,225.17063289466424,224.13678747221337,233.0054095865857,0,0,0.08333333333333333,0.08333333333333333
2002-11-01,229.16568384878707,229.19227563433554,229.9466265979773,229.4497609085633,230.381725365597,233.75044779073014,0,0,0.08333333333333333,0.08333333333333333
2002-12-01,238.1178544537136,238.12633244184417,239.0824051411461,238.52066193219733,241.4758769712757,244.66135679997294,0,0,0.08333333333333333,0.08333333333333333
2003-01-01,248.53823487043397,248.58700272969043,249.30792462448213,249.41530724782618,250.33869969908795,255.3088238551798,0,0,0.08333333333333333,0.08333333333333333
2003-02-01,257.0956710075219,257.1143559064333,257.6041558169158,257.7896769575435,260.26090248642197,261.68438960815115,0,0,0.08333333333333333,0.08333333333333333
2003-03-01,262.04155058520877,262.04258254858667,262.7920898983311,262.4008536223108,263.0807317699138,265.75857899710525,0,0,0.08333333333333333,0.08333333333333333
2003-04-01,262.14438041371625,262.17986049481425,262.89707220594573,262.93259716818295,262.33897227828487,264.3710672901967,0,0,0.08333333333333333,0.08333333333333333
2003-05-01,257.064932306475,257.1572817162064,257.3668422546845,257.2875633447247,259.0284062714153,260.16693899889054,0,0,0.08333333333333333,0.08333333333333333
2003-06-01,248.21502015233833,248.24008251162428,248.52287377964646,250.08455464956592,250.11181697672563,249.50618529006508,0,0,0.08333333333333333,0.08333333333333333
2003-07-01,237.95343087489374,237.9715003087358,238.15329528333805,239.90802025002387,238.28429671200715,243.52282802167957,0,0,0.08333333333333333,0.08333333333333333
2003-08-01,228.93523367224603,228.98507283701372,229.28527494128505,229.28647910348423,229.3645287184014,228.95725467406427,0,0,0.08333333333333333,0.08333333333333333
2003-09-01,223.85567897721944,223.95072476319035,223.92894863775743,224.8316373595867,225.09567077659074,231.0595461704578,0,0,0.08333333333333333,0.08333333333333333
2003-10-01,223.95838614114362,223.99723032912948,224.03034138292924,224.7129907871277,225.22268010715257,230.6163609682284,0,0,0.08333333333333333,0.08333333333333333
2003-11-01,229.16568384878707,229.2358435017304,229.16682507200065,230.72876459684912,232.75216535517114,238.83172405339283,0,0,0.08333333333333333,0.08333333333333333
2003-12-01,238.1178544537136,238.19292000863473,238.5402625050975,238.53121014811992,241.28482566776523,241.56405085888366,0,0,0.08333333333333333,0.08333333333333333
2004-01-01,248.53823487043397,248.6351770526999,248.70352055743666,249.20314052955754,251.3935976561332,249.43840284976326,0,0,0.08333333333333333,0.08333333333333333
2004-02-01,257.20487438839194,257.2607364068915,258.0951150378132,257.2146070790118,259.9153854377043,258.86671801284183,0,0,0.08333333333333333,0.08333333333333333
2004-03-01,262.1298408858099,262.1299561461222,262.14929599045985,262.6633421556747,265.7540247828488,263.8532844342157,0,0,0.08333333333333333,0.08333333333333333
2004-04-01,262.05602721328336,262.1027704265014,262.4304745477054,263.71822191581856,262.14583659365337,264.3934973587724,0,0,0.08333333333333333,0.08333333333333333
2004-05-01,256.8238523278929,256.84591534188166,257.7953817698271,257.3079400222506,259.0185901663225,257.198259283834,0,0,0.08333333333333333,0.08333333333333333
2004-06-01,247.8858410363139,247.93208269846204,248.8321161457004,249.86556148604643,250.38290019256064,249.3303259704226,0,0,0.08333333333333333,0.08333333333333333
2004-07-01,237.62525958822445,237.6925655650481,237.99679533257427,239.24383220845405,239.11390571819442,239.2298995088326,0,0,0.08333333333333333,0.08333333333333333
2004-08-01,228.69831851788342,228.70932200256019,228.8725744931283,230.29012872663472,230.59734411773823,229.59232572269084,0,0,0.08333333333333333,0.08333333333333333
2004-09-01,223.7729947216676,223.82201068844867,224.25969465636166,225.63487133482607,225.0435850930764,227.7658600628489,0,0,0.08333333333333333,0.08333333333333333
2004-10-01,224.0523149552495,224.12882480532986,224.2297559230847,225.12294128521194,227.21984839810239,226.30681039181226,0,0,0.08333333333333333,0.08333333333333333
2004-11-01,229.4110457168324,229.4920753135646,230.34065306963583,229.61378759991257,231.20763624623422,236.01733564884606,0,0,0.08333333333333333,0.08333333333333333
2004-12-01,238.44823127453412,238.48787098293826,239.05443739227877,238.561523285764,241.67865696117,243.56942828744738,0,0,0.08333333333333333,0.08333333333333333
2005-01-01,248.86398085950307,248.9260261547268,248.95395083956842,249.2462898108114,251.65458452911125,253.77606687855086,0,0,0.08333333333333333,0.08333333333333333
2005-02-01,257.3331067383951,257.42242098270157,257.42143307879076,258.611188256444,259.76756366202386,263.3722622646329,0,0,0.08333333333333333,0.08333333333333333
2005-03-01,262.1298408858099,262.2114486317309,262.1423971759111,263.78238607141236,262.5274360841652,268.06181831854803,0,0,0.08333333333333333,0.08333333333333333
2005-04-01,262.05602721328336,262.1046608223996,262.61156343886177,262.5648026302864,262.16403837941874,269.10382047335173,0,0,0.08333333333333333,0.08333333333333333
2005-05-01,256.8238523278929,256.83281552366253,256.8669839919053,258.5658704448787,259.5430102052682,262.9483542740273,0,0,0.08333333333333333,0.08333333333333333
2005-06-01,247.8858410363139,247.9365706422866,248.41010007886865,249.84862774926623,248.98107600067314,250.8132098532578,0,0,0.08333333333333333,0.08333333333333333
2005-07-01,237.62525958822445,237.7215639961623,238.22370297845444,238.270848500213,239.38753026739107,246.50975960757796,0,0,0.08333333333333333,0.08333333333333333
2005-08-01,228.69831851788342,228.7285251328521,228.72150506304004,229.6630741291363,231.93080910831253,229.7414891536971,0,0,0.08333333333333333,0.08333333333333333
2005-09-01,223.7729947216676,223.80972464515702,224.11311659503,225.2204892431739,225.46355769921408,231.67783977464086,0,0,0.08333333333333333,0.08333333333333333
2005-10-01,224.0523149552495,224.0555471609184,224.95916860753758,225.02026307076994,226.3839362236589,231.05432194577844,0,0,0.08333333333333333,0.08333333333333333
2005-11-01,229.4110457168324,229.49179076329136,229.59913631931298,231.38789901937187,232.36638208895351,234.0086076255882,0,0,0.08333333333333333,0.08333333333333333
2005-12-01,238.44823127453412,238.54804925044144,238.7179246023356,239.0733515543812,241.37265569417505,242.78626340320054,0,0,0.08333333333333333,0.08333333333333333
2006-01-01,248.86398085950307,248.90358344600526,249.49130161676368,249.82807378074938,252.28514134733004,257.3853871804657,0,0,0.08333333333333333,0.08333333333333333
2006-02-01,257.3331067383951,257.36378554185086,258.23165509675215,258.77250442040486,258.669989652297,260.60313427550494,0,0,0.08333333333333333,0.08333333333333333
2006-03-01,262.1298408858099,262.19031485462494,262.47756949228926,263.55637240400904,264.7667477392251,263.86673779254545,0,0,0.08333333333333333,0.08333333333333333
2006-04-01,262.05602721328336,262.1506013567923,263.04878755659325,263.9536442080577,262.71057742750617,271.5081379872872,0,0,0.08333333333333333,0.08333333333333333
2006-05-01,256.8238523278929,256.8866689074993,257.24331944428013,258.0213300650155,258.13805187955785,260.54217791198283,0,0,0.08333333333333333,0.08333333333333333
2006-06-01,247.8858410363139,247.95761382396714,248.1735013814063,247.92896777243035,249.87143125952855,250.30998294834177,0,0,0.08333333333333333,0.08333333333333333
2006-07-01,237.62525958822445,237.64514996277728,237.91986436119586,237.85789471612182,237.90975432567365,246.42406111661612,0,0,0.08333333333333333,0.08333333333333333
2006-08-01,228.69831851788348,228.735398332452,229.15459411301666,230.21286654361816,229.90798208738556,228.90865174690973,0,0,0.08333333333333333,0.08333333333333333
2006-09-01,223.7729947216676,223.8312772600145,224.0488126540549,224.6190807870357,226.51212026468176,225.92070242855976,0,0,0.08333333333333333,0.08333333333333333
2006-10-01,224.0523149552495,224.1104456831122,224.39196182937155,224.44911737678802,227.48580881769033,229.32389141492547,0,0,0.08333333333333333,0.08333333333333333
2006-11-01,229.4110457168324,229.47221738241737,229.90908027847993,230.074439010455,231.64372068254724,232.93498159475715,0,0,0.08333333333333333,0.08333333333333333
2006-12-01,238.44823127453412,238.5000427958801,238.48731635037737,238.60729066281831,240.12568222839286,242.03633185824594,0,0,0.08333333333333333,0.08333333333333333
2007-01-01,248.86398085950307,248.92690996864556,249.4432685239627,249.96752661707498,249.790011583612,251.43408652705048,0,0,0.08333333333333333,0.08333333333333333
2007-02-01,257.3331067383951,257.3769431048249,257.668490005701,259.190145070788,257.70529078428063,260.2883686096284,0,0,0.08333333333333333,0.08333333333333333
2007-03-01,262.1298408858099,262.18532041750655,262.32085621855686,263.8161634768339,264.41247106413067,264.50393239283835,0,0,0.08333333333333333,0.08333333333333333
2007-04-01,262.05602721328336,262.05824810035557,262.5840202956918,262.64182292061656,265.9348670548987,264.99210655069317,0,0,0.08333333333333333,0.08333333333333333
2007-05-01,256.8238523278929,256.92062751994825,257.72230375408736,257.2475357008831,259.82360076996844,264.09229567357926,0,0,0.08333333333333333,0.08333333333333333
2007-06-01,247.8858410363139,247.93802348438308,248.18841520003502,248.02616534456558,251.42239732244823,253.66928610375487,0,0,0.08333333333333333,0.08333333333333333
2007-07-01,237.62525958822445,237.6381548049436,238.34627304738245,239.01820692831257,238.844535779865,246.2135577746452,0,0,0.08333333333333333,0.08333333333333333
2007-08-01,228.69831851788348,228.71961286006956,229.60456158669,229.74047876880013,230.23855321639618,231.2769860842616,0,0,0.08333333333333333,0.08333333333333333
2007-09-01,223.7729947216676,223.78246889959053,223.78948183386387,224.96143305733324,223.8736212997476,225.3521166712434,0,0,0.08333333333333333,0.08333333333333333
2007-10-01,224.0523149552495,224.06568026421255,224.8075730824518,225.2894224027559,224.93557621200608,232.70314859546176,0,0,0.08333333333333333,0.08333333333333333
2007-11-01,229.4110457168324,229.4156546137395,229.6364137122918,230.57308558982368,229.9301737214541,239.16974952643557,0,0,0.08333333333333333,0.08333333333333333
2007-12-01,238.4482312745341,238.4999011081503,239.3374431804156,238.63443521346133,241.18900161904887,247.9700397685275,0,0,0.08333333333333333,0.08333333333333333
2008-01-01,248.86398085950302,248.87277979810554,249.44836199106183,250.43012122232744,249.6541941491602,256.851644354019,0,0,0.08333333333333333,0.08333333333333333
2008-02-01,257.44002900728293,257.52751705950016,257.754369737396,259.11329441113884,259.69360781374166,259.7582078920463,0,0,0.08333333333333333,0.08333333333333333
2008-03-01,262.21246260170085,262.28393853570617,262.66523634424397,264.16837189119127,264.1213923802195,270.6052132437373,0,0,0.08333333333333333,0.08333333333333333
2008-04-01,261.9620273007244,261.9766321737766,262.3586832182382,262.1559872395608,262.7176395321641,265.2641766257573,0,0,0.08333333333333333,0.08333333333333333
2008-05-01,256.5786760435229,256.60528609616665,256.91700752912567,256.67640398590663,260.5576932720828,265.79734239686053,0,0,0.08333333333333333,0.08333333333333333
2008-06-01,247.55521414014538,247.64644333476772,247.75346264925673,249.2968692672425,251.2427287845719,247.5788435561622,0,0,0.08333333333333333,0.08333333333333333
2008-07-01,237.29868095313557,237.29907623661214,237.66224467200615,238.32258871488273,241.27517173838106,238.37940981706083,0,0,0.08333333333333333,0.08333333333333333
2008-08-01,228.46564126039962,228.50956447112938,228.58709507778863,229.19643901573693,229.03379786518568,230.83649809193105,0,0,0.08333333333333333,0.08333333333333333
2008-09-01,223.69600784273248,223.70132977216002,224.68278376785125,225.35368732407167,224.40701827960424,230.22673272890415,0,0,0.08333333333333333,0.08333333333333333
2008-10-01,224.1518583773587,224.17809626059963,224.684399882602,224.25661736914572,225.18710085656983,233.0179116953318,0,0,0.08333333333333333,0.08333333333333333
2008-11-01,229.6604342853055,229.71543828275315,230.6326895220331,230.38193533088108,233.3850023554134,235.13287656708027,0,0,0.08333333333333333,0.08333333333333333
2008-12-01,238.7799568826632,238.84448973668162,239.31141701030853,238.9987817486412,241.72932357403977,240.25344899074224,0,0,0.08333333333333333,0.08333333333333333
2009-01-01,249.1879892244884,249.23732724132884,250.06191346300054,249.2591367131187,250.07901660627957,258.68161392613496,0,0,0.08333333333333333,0.08333333333333333
2009-02-01,257.56629526040797,257.66238840622447,258.38485190438587,259.44771892238504,258.8471067837807,266.0419066259801,0,0,0.08333333333333333,0.08333333333333333
2009-03-01,262.21246260170085,262.23175531735467,262.8571409626522,262.6558781483012,265.2782670889822,270.6906485321178,0,0,0.08333333333333333,0.08333333333333333
2009-04-01,261.9620273007244,261.9674868028078,262.316846490013,262.5110998360385,265.82990792730766,262.26759459943304,0,0,0.08333333333333333,0.08333333333333333
2009-05-01,256.5786760435229,256.61562108844754,257.0509556023579,258.226635511575,258.3219980252622,262.13713932685863,0,0,0.08333333333333333,0.08333333333333333
2009-06-01,247.55521414014538,247.59065443842434,247.5738084291865,249.03233562438942,250.55996836061615,252.37422576710551,0,0,0.08333333333333333,0.08333333333333333
2009-07-01,237.29868095313557,237.38036076025355,237.91145664984182,238.72481612333797,239.56627954042509,241.62913962197288,0,0,0.08333333333333333,0.08333333333333333
2009-08-01,228.46564126039962,228.48931216834322,229.28707298450152,229.7856427668043,231.3539776609893,232.29056903264794,0,0,0.08333333333333333,0.08333333333333333
2009-09-01,223.69600784273248,223.71419207219594,224.23377566982535,223.83547937728054,225.14600573324506,228.57020127929343,0,0,0.08333333333333333,0.08333333333333333
2009-10-01,224.1518583773587,224.15875993848277,224.1712633165265,224.1701991292301,226.71355628794234,225.32288082650277,0,0,0.08333333333333333,0.08333333333333333
2009-11-01,229.6604342853055,229.75463188525413,229.73830878445577,231.1077297896795,232.88258347181312,238.96778547953164,0,0,0.08333333333333333,0.08333333333333333
2009-12-01,238.27250312696418,238.32711660137767,239.18355125429025,239.2453447176927,239.35592640143517,247.6537764405881,0,0,0.08333333333333333,0.08333333333333333
